State,pct_ba
AL,28.36978719557729
AK,31.66962931554657
AZ,33.33559325364658
AR,25.731604742100224
CA,37.082883331437294
CO,45.698089740844544
CT,42.47513489476173
DE,35.76462843201797
DC,64.24663390050294
FL,34.14672426117177
GA,34.94532000166852
HI,36.13862203054367
ID,31.800482715725813
IL,37.848152002668186
IN,29.47427809027146
IA,31.423453066617025
KS,35.60326874809291
KY,27.552684010819817
LA,27.044225528699545
ME,36.18962241169306
MD,43.44641837941011
MA,47.27900977322007
MI,32.44588326729216
MN,39.40369198398265
MS,25.13454067554782
MO,32.39843841140294
MT,35.16135390853796
NE,34.57763320798825
NV,27.88960156498664
NH,40.64601772516284
NJ,43.627853314982424
NM,30.978324089013697
NY,40.2265604846166
NC,35.65176624893467
ND,32.69329281950896
OH,31.48718436267798
OK,28.34718160375149
OR,36.80677303005601
PA,35.16293301074018
RI,37.744019208957376
SC,32.12915254993231
SD,31.90248879495682
TN,31.057464278601245
TX,33.82333355682376
UT,37.68084274947649
VT,43.788323170993166
VA,42.16088145869336
WA,39.613076456437916
WV,24.13256659838493
WI,33.384024724065256
WY,30.55506099778076
