area_fips,own_code,industry_code,agglvl_code,annual_avg_estabs
01000,5,11,54,1533
01000,5,21,54,371
01000,5,22,54,520
01000,5,23,54,12972
01000,5,31-33,54,7233
01000,5,42,54,10213
01000,5,44-45,54,19458
01000,5,48-49,54,4839
01000,5,51,54,4884
01000,5,52,54,10044
01000,5,53,54,6662
01000,5,54,54,21178
01000,5,55,54,993
01000,5,56,54,9659
01000,5,61,54,1709
01000,5,62,54,21985
01000,5,71,54,1726
01000,5,72,54,11694
01000,5,81,54,9882
01000,5,99,54,131
02000,5,11,54,277
02000,5,21,54,241
02000,5,22,54,116
02000,5,23,54,2611
02000,5,31-33,54,665
02000,5,42,54,702
02000,5,44-45,54,2352
02000,5,48-49,54,1230
02000,5,51,54,484
02000,5,52,54,876
02000,5,53,54,722
02000,5,54,54,3096
02000,5,55,54,198
02000,5,56,54,1660
02000,5,61,54,426
02000,5,62,54,2493
02000,5,71,54,669
02000,5,72,54,2160
02000,5,81,54,1844
02000,5,99,54,552
04000,5,11,54,1199
04000,5,21,54,298
04000,5,22,54,334
04000,5,23,54,18865
04000,5,31-33,54,6227
04000,5,42,54,15338
04000,5,44-45,54,16959
04000,5,48-49,54,5467
04000,5,51,54,5577
04000,5,52,54,13441
04000,5,53,54,13185
04000,5,54,54,39714
04000,5,55,54,5848
04000,5,56,54,14643
04000,5,61,54,3656
04000,5,62,54,22754
04000,5,71,54,3230
04000,5,72,54,13984
04000,5,81,54,13736
04000,5,99,54,8644
05000,5,11,54,2126
05000,5,21,54,384
05000,5,22,54,443
05000,5,23,54,8907
05000,5,31-33,54,2941
05000,5,42,54,8590
05000,5,44-45,54,11048
05000,5,48-49,54,3388
05000,5,51,54,2302
05000,5,52,54,6427
05000,5,53,54,4294
05000,5,54,54,15762
05000,5,55,54,566
05000,5,56,54,8222
05000,5,61,54,1451
05000,5,62,54,13602
05000,5,71,54,1204
05000,5,72,54,7113
05000,5,81,54,6894
06000,5,11,54,16318
06000,5,21,54,789
06000,5,22,54,1927
06000,5,23,54,96643
06000,5,31-33,54,44125
06000,5,42,54,62356
06000,5,44-45,54,106458
06000,5,48-49,54,40407
06000,5,51,54,29859
06000,5,52,54,51776
06000,5,53,54,66612
06000,5,54,54,187002
06000,5,55,54,4882
06000,5,56,54,59334
06000,5,61,54,20158
06000,5,62,54,804405
06000,5,71,54,35219
06000,5,72,54,96121
06000,5,81,54,106912
06000,5,99,54,9175
08000,5,11,54,1760
08000,5,21,54,1184
08000,5,22,54,458
08000,5,23,54,21188
08000,5,31-33,54,5645
08000,5,42,54,14554
08000,5,44-45,54,17858
08000,5,48-49,54,4614
08000,5,51,54,6308
08000,5,52,54,13844
08000,5,53,54,14463
08000,5,54,54,56606
08000,5,55,54,4175
08000,5,56,54,13335
08000,5,61,54,4553
08000,5,62,54,24598
08000,5,71,54,4131
08000,5,72,54,14900
08000,5,81,54,18776
08000,5,99,54,3460
09000,5,11,54,469
09000,5,21,54,76
09000,5,22,54,210
09000,5,23,54,9735
09000,5,31-33,54,4418
09000,5,42,54,10408
09000,5,44-45,54,12492
09000,5,48-49,54,2468
09000,5,51,54,4940
09000,5,52,54,8894
09000,5,53,54,4139
09000,5,54,54,22946
09000,5,55,54,2097
09000,5,56,54,10576
09000,5,61,54,2786
09000,5,62,54,22424
09000,5,71,54,2288
09000,5,72,54,9668
09000,5,81,54,12882
09000,5,99,54,1756
10000,5,11,54,199
10000,5,21,54,10
10000,5,22,54,80
10000,5,23,54,3792
10000,5,31-33,54,833
10000,5,42,54,3005
10000,5,44-45,54,3848
10000,5,48-49,54,1167
10000,5,51,54,1207
10000,5,52,54,2636
