moderator,coef,se_state,se_conley,t,effect_pct,ci_lo_pct,ci_hi_pct
"q (main, clean)",0.11606144083849941,0.08258715238335926,0.07076695111967903,1.4053207731361979,1.9865839789375395,-0.7734103204175669,4.823347706296466
rank(q),0.04570780670581367,0.08546860094189392,0.06908605833125192,0.5347906272256434,0.9071600168561345,-2.3779393950912664,4.3028069636486865
un-normalised log Access^541,0.1160614408392162,0.08258715238350216,0.0707669511194884,1.4053207731424453,10.036246556282148,-3.7045297058406756,25.737747779910958
retail-normalised q,0.08739724768125394,0.07682581738944332,0.06599780958754285,1.1376025749029421,1.845156013923832,-1.3130493734876292,5.1044311091918315
retail accessibility (placebo),0.06510185690271982,0.15188964585892692,0.14535738486296448,0.4286128691299047,4.899749405973508,-15.710175671388704,30.549061088751838
health accessibility (placebo),-0.16107492868789272,0.15353371075433256,0.1509407380959365,-1.0491176686638335,-12.014032311080225,-30.726915869883097,11.753801745199844
manufacturing accessibility,0.012385198531020918,0.07749346836196051,0.057924223426251656,0.15982248301458762,1.0221761638248283,-10.823215341177384,14.440996229226432
own-county 541 density (hire margin),-0.0002736666814424287,0.0018648551177514222,0.0024932770253996905,-0.1467495672116376,-0.009460414849860044,-0.1357287692736131,0.11696759324313355
