year,coef,se,t
2017,-0.0030714258569202787,0.0018286959155752232,-1.6795716722285947
2018,0.0004793480989841777,0.0012751886938796124,0.3759036613834908
2019,0.0,0.0,
2020,-0.0018578310925805794,0.0013504764231995672,-1.3756856918530873
2021,0.0044077433501822135,0.0019190949151741178,2.296782360961184
2022,0.005350246909359841,0.002538069991619504,2.1079981746074425
2023,0.008633670692359277,0.0030593768958286035,2.822035658349616
2024,0.009095913833025469,0.0032923320321490645,2.7627571412012553
2025,0.011537923371449918,0.0035677473208498116,3.2339519404927106
