year,coef,se,t
2017,0.0015081873078424263,0.0055595558525844795,0.27127838047374103
2018,-0.0009066085963402859,0.0017074603532808482,-0.5309690468644013
2019,0.0,0.0,
2020,0.007810964113548593,0.003909374268841721,1.9980087800247495
2021,0.013451927166236721,0.005810531041440047,2.3150942780098935
2022,0.015082035741859373,0.00986337430463315,1.5290949401337073
2023,0.019872353745591834,0.011005011394586437,1.805754945003274
2024,0.022372426805071514,0.01170491082228609,1.9113709745207565
2025,0.025332608836076662,0.012532106854464247,2.021416600597573
