year,old_coef,old_t,coef,se,t
2005,0.10417227226011397,1.6718805163536674,0.10492290794372158,0.05848233505819834,1.7940957357346998
2006,0.1026045641033235,1.7333304419694635,0.09280774093280651,0.053321463795483824,1.7405325046734195
2007,0.0700548923284359,1.450113502050256,0.06696403496161045,0.04558589917357854,1.4689637843191348
2008,0.08431538131326936,1.8507468649352241,0.0777568931421683,0.04246470548514393,1.8310946055983166
2009,0.12946002986446606,2.5054431987058785,0.1154793288565483,0.047155097210140696,2.448925687544007
2010,0.0899904480593198,1.8444067756444438,0.0848429965119808,0.04385867802283765,1.9344631515752073
2011,0.05818528508504986,1.61063829139696,0.04631184019385019,0.031917977810813465,1.450964107699838
2012,0.05686822280616365,1.5357800529059822,0.05131239280842622,0.03093416464568448,1.6587612239137879
2013,0.053169615106973225,1.2012311697070928,0.04694754483313977,0.041051561545490375,1.1436238492685813
2014,0.025145638525237372,0.7277616016194705,0.01875157391100224,0.030143633891484542,0.6220740995762786
2015,0.0060522059976116736,0.23524364766096484,0.004314746516769389,0.024005145550318827,0.17974256843079553
2016,0.061675792218472116,1.956447680135933,0.05526341307082706,0.02724427165586836,2.0284415663181594
2017,0.052062220604172656,1.8555238421810507,0.04596169217842154,0.025170830727933566,1.8259902772066685
2018,0.03193185431785099,1.2735494813057062,0.02707725620793079,0.022550647921864488,1.2007307418283724
2019,0.0,,0.0,0.0,
2020,0.03375625510009247,1.1147452151988846,0.030477982890594,0.02927327469165891,1.0411538583101656
2021,0.027079545322906302,0.9686216273254561,0.02422058684000485,0.026822440553736077,0.9029971300143745
2022,0.013819302968318145,0.4345107869315057,0.014233571086569006,0.02763107580981466,0.5151290953902413
2023,-0.009554626254466174,-0.2851344482791139,-0.013551542716054715,0.029750101882653892,-0.45551248091543795
2024,-0.008191777006089565,-0.24276390435442016,-0.013715709146946194,0.029281851914488618,-0.4684030636791685
2025,-0.012812476215397578,-0.3367317347894515,-0.016200155601704652,0.03422167863376205,-0.4733886895227308
