exposure,coef,se,t,effect_pct
CBP 3-digit leave-out (main),0.11606144083849941,0.08258715238335926,1.4053207731361979,1.9865839789375395
CBP 2-digit leave-out,0.18417758642670143,0.08818216932007489,2.088603488061083,2.801299597060525
QCEW 4-digit leave-out,0.14797045616581952,0.05389733163552296,2.7454133938663174,4.346435937867943
"CBP 3-digit, no leave-out",0.13437235620030075,0.08146672243634295,1.649414045167922,2.363503404406697
