quartile,n,rural_mean,observed,observed_lo,observed_hi,adjusted,adjusted_lo,adjusted_hi
1,13,3.9709809819940625,22.91991758241758,20.91614037163449,24.923694793200667,22.323588557134826,20.710804668702117,23.936372445567535
2,13,14.318337841604961,21.479807692307695,20.07581265770137,22.88380272691402,21.317347210769924,20.261689837979954,22.373004583559894
3,12,25.379842416362568,19.232291666666665,17.97762192040247,20.48696141293086,19.404068155363294,18.36268646076557,20.44544984996102
4,13,44.924982053750014,17.93804945054945,16.664563522176735,19.211535378922164,18.53827604472693,17.358302676927863,19.718249412526
