bin,n,mean_q,coef,se,t
Q1,381,-0.3914351745544148,-0.06774298490892279,0.05209632239713228,-1.3003410181723654
Q2,381,-0.19286986699171804,-0.0092597295019764,0.05373045926291141,-0.17233669000793606
Q3,380,-0.06807418919777507,-0.05138009603825499,0.03510472822241598,-1.4636232393745305
Q4,381,0.08271569260773548,-0.03761439939566377,0.05113547825282047,-0.7355832130814007
Q5,381,0.4023821058463088,-0.020768569191605885,0.04602631386211064,-0.4512325113374503
