year,coef,se,t
2012,0.04076607220384054,0.035607479542660504,1.144873850310007
2013,0.011882833291078863,0.034044606292561515,0.3490371775477154
2014,0.006070574902927815,0.03421359671655264,0.1774316495637786
2015,0.008715335722033169,0.026545030909991513,0.32832268124248926
2016,-0.016524375543309863,0.021874144238280515,-0.7554295776468196
2017,-0.0008160562057396445,0.02259314021957796,-0.0361196450696347
2018,-0.0019139235479100178,0.01486866772241839,-0.12872192610937694
2019,0.0,0.0,
2020,-0.026379056448616513,0.025140409355637033,-1.0492691696247878
2021,-0.04681997506189606,0.027814387250321076,-1.6833006113178204
2022,-0.03399732542492695,0.025333052108785017,-1.3420145854883916
2023,-0.036599336582125885,0.03170208664735955,-1.1544772112082478
2024,-0.008782543799967235,0.03418902647611245,-0.2568819502978102
2025,-0.04669681656060776,0.044783278224146184,-1.0427288580099934
