State,ai_msa,ai_rest,gap,rural_rest,covered_metros
GA,27.0125,16.994374999999994,10.018125000000005,36.9616731918401,1
AZ,26.9,17.356107086197788,9.54389291380221,11.65520888418826,1
TX,24.930401876868324,19.116645299386835,5.813756577481488,23.280130219519364,3
WA,27.2375,21.904767247375215,5.332732752624786,20.850307466410538,1
FL,25.261312756271803,20.86125958245469,4.400053173817113,5.755418496614926,3
CO,27.625,24.49759596139305,3.127404038606951,33.32629097540364,1
MD,23.7375,21.604202606796775,2.1332973932032253,10.913061280196533,1
CA,22.320146267546676,22.08025928199089,0.2398869855557848,6.51311171654874,4
MI,19.675,20.72212224448898,-1.0471222444889783,29.816432865731464,1
